"assignment","typeid","type","stepid","step","updatedon","conclusion","mark_value","mark_degradation","mark_details","decision","decision_ex","comparison_need_better_known","comparison_l3details","comparison_qualquant"
1195,3,Submission,1,Analysis,2022-06-06 18:56:11,null,null,null,null,,,,,
1195,1,Current,2,Comparison,2022-06-06 19:00:02,null,,,,"2",,,"0",null
1491,3,Submission,2,Comparison,2022-06-09 13:02:04,null,,,,null,,,null,null
2373,3,Submission,1,Analysis,2022-06-28 17:13:50,null,null,null,null,,,,,
2373,1,Current,2,Comparison,2022-06-28 17:13:50,,,,,,,,,
1195,3,Submission,2,Comparison,2022-06-06 19:05:08,null,,,,"2",,,"0",null
1196,1,Current,1,Analysis,2022-06-06 19:28:22,null,null,null,null,,,,,
1196,3,Submission,1,Analysis,2022-06-06 19:28:26,null,null,null,null,,,,,
1168,3,Submission,1,Analysis,2022-06-06 19:29:37,"""some pores present on each ridge with somewhat defined shapes\nridge edges\/shapes would provide value in the comparison stage""","1",[],"[100,200,300]",,,,,
1169,3,Submission,1,Analysis,2022-06-06 19:37:57,"""delta area of finger or palm \nlimited contrast between ridges and background""","1","[1,2]","[100,201,302]",,,,,
1196,1,Current,2,Comparison,2022-06-06 19:44:14,null,,,,"2",,,null,null
1175,1,Current,2,Comparison,2022-06-06 20:12:58,null,,,,"1",,,null,null
1168,1,Current,2,Comparison,2022-06-06 20:24:54,"""pretty good sequence and spatial relationship of six minutiae (minutiae on far left is a little off), star\/difference marked at top had potential for forced fit, star on right a clear difference -> CNM""",,,,"0",,,null,null
1198,3,Submission,1,Analysis,2022-06-06 20:31:56,null,null,null,null,,,,,
1171,3,Submission,1,Analysis,2022-06-06 19:38:35,"""appears to be delta area of a finger, secondary search location would be deltas of the palm""","1","[1,2]","[101,201,302]",,,,,
1171,1,Current,2,Comparison,2022-06-06 19:41:35,null,,,,"1",,,null,null
1172,3,Submission,1,Analysis,2022-06-06 19:41:59,null,"1",[1],"[100,200,301]",,,,,
1169,1,Current,2,Comparison,2022-06-15 14:55:52,"""poor quality known, difficult to find any strong correspondence of target minutiae to start comparison. Would likely request better quality knowns in casework senario""",,,,"2",,,null,null
1492,3,Submission,1,Analysis,2022-06-09 13:02:44,null,null,null,null,,,,,
1492,1,Current,2,Comparison,2022-06-09 13:02:44,,,,,,,,,
2374,3,Submission,1,Analysis,2022-06-28 17:27:26,null,null,null,null,,,,,
2374,1,Current,2,Comparison,2022-06-28 17:27:26,,,,,,,,,
2542,1,Current,2,Comparison,2022-07-01 12:18:07,null,,,,null,,,null,null
1196,3,Submission,2,Comparison,2022-06-06 19:44:18,null,,,,"2",,,null,null
1172,1,Current,2,Comparison,2022-06-06 19:51:56,null,,,,"1",,,null,null
1173,3,Submission,1,Analysis,2022-06-06 19:52:21,null,"1",[2],"[100,201,301]",,,,,
1173,1,Current,2,Comparison,2022-06-06 20:20:18,"""multiple starting minutiae used, each had a quick difference noted""",,,,"2",,,null,null
983,1,Current,1,Analysis,2022-06-06 19:59:02,null,null,null,null,,,,,
983,3,Submission,1,Analysis,2022-06-06 19:59:07,null,null,null,null,,,,,
2386,3,Submission,1,Analysis,2022-06-28 23:14:43,null,null,null,null,,,,,
1174,3,Submission,1,Analysis,2022-06-06 20:00:43,null,"1",[],"[100,200,300]",,,,,
1174,1,Current,2,Comparison,2022-06-06 20:03:33,null,,,,"1",,,null,null
1175,3,Submission,1,Analysis,2022-06-06 20:06:33,"""apparent double tap in upper portion of impression, potential for false minutiae in the area. majority of minutiae marked in this area""","1",[4],"[100,201,301]",,,,,
983,1,Current,2,Comparison,2022-06-06 20:08:48,null,,,,"2",,,null,null
983,3,Submission,2,Comparison,2022-06-06 20:09:02,null,,,,"2",,,null,null
1197,1,Current,1,Analysis,2022-06-06 20:10:24,null,null,null,null,,,,,
1197,3,Submission,1,Analysis,2022-06-06 20:10:32,null,null,null,null,,,,,
984,3,Submission,1,Analysis,2022-06-06 20:11:00,null,null,null,null,,,,,
1176,3,Submission,1,Analysis,2022-06-06 20:13:15,null,"1",[],"[100,200,301]",,,,,
929,1,Current,2,Comparison,2022-06-06 20:22:48,null,,,,null,,,null,null
984,1,Current,2,Comparison,2022-06-06 20:17:37,null,,,,"1",,,null,null
1176,1,Current,2,Comparison,2022-06-06 20:17:41,"""strong sequence and spatial relationship of top three minutiae, spatial relationship a little off for lower minutiae by delta. falls apart pretty quickly after that. Felt low risk to force a fit so not a CNM""",,,,"2",,,null,null
984,3,Submission,2,Comparison,2022-06-06 20:17:52,null,,,,"1",,,null,null
973,3,Submission,1,Analysis,2022-06-06 20:20:34,null,null,null,null,,,,,
2386,1,Current,2,Comparison,2022-06-28 23:14:43,,,,,,,,,
1198,1,Current,2,Comparison,2022-06-06 20:31:56,,,,,,,,,
1198,3,Submission,2,Comparison,2022-06-06 20:44:21,"""Textured surface limited level three detail and ability to determine which ridges were truly ending\/bifurcating\nStill some discrepancies and differences in spatial arrangements of minutiae""",,,,"2",,,"0",null
1177,3,Submission,1,Analysis,2022-06-06 20:55:27,null,"1","[1,2]","[100,201,302]",,,,,
1177,1,Current,2,Comparison,2022-06-06 20:58:28,null,,,,"1",,,null,null
1179,3,Submission,1,Analysis,2022-06-06 21:02:45,"""primary search area of interdigital, secondary search area of distal finger with 180 rotation""","1",[],"[100,200,301]",,,,,
1199,3,Submission,1,Analysis,2022-06-06 21:14:44,null,"1",null,"[100,200,300]",,,,,
1199,1,Current,2,Comparison,2022-06-06 21:14:44,,,,,,,,,
1179,1,Current,2,Comparison,2022-06-06 21:19:18,"""difference in overall ridge flow\/shape of looping formation, ridges flow out of delta and around looping formation in latent but flow into center of looping formation in known. Some correspondence of features in ridges flowing out of delta area, but notable differences so not a CNM""",,,,"2",,,null,null
1197,1,Current,2,Comparison,2022-06-06 23:21:11,null,,,,"2",,,"0",null
2387,3,Submission,1,Analysis,2022-06-28 23:16:56,null,null,null,null,,,,,
2387,1,Current,2,Comparison,2022-06-28 23:16:56,,,,,,,,,
1200,1,Current,2,Comparison,2022-06-06 21:15:22,,,,,,,,,
1200,3,Submission,2,Comparison,2022-06-06 21:23:03,null,,,,"2",,,"0",null
1199,3,Submission,2,Comparison,2022-06-06 21:24:35,null,,,,"2",,,"0",null
1201,3,Submission,1,Analysis,2022-06-06 21:26:02,null,null,null,null,,,,,
1201,1,Current,2,Comparison,2022-06-06 21:26:02,,,,,,,,,
1181,3,Submission,1,Analysis,2022-06-06 21:29:21,"""primary search area finger delta, secondary search area delta in the palm""",null,[2],"[100,201,301]",,,,,
2385,3,Submission,2,Comparison,2022-06-28 23:18:41,null,,,,"2",,,null,null
1201,3,Submission,2,Comparison,2022-06-06 21:30:12,null,,,,"2",,,"0",null
1202,3,Submission,1,Analysis,2022-06-06 21:34:16,null,null,null,null,,,,,
1202,1,Current,2,Comparison,2022-06-06 21:41:14,null,,,,"1",,,"1",null
1202,3,Submission,2,Comparison,2022-06-06 21:41:27,null,,,,"1",,,"1",null
1203,1,Current,1,Analysis,2022-06-06 21:45:32,null,null,null,null,,,,,
1203,3,Submission,1,Analysis,2022-06-06 21:45:39,null,null,null,null,,,,,
1181,1,Current,2,Comparison,2022-06-07 14:03:11,null,,,,"1",,,null,null
2388,3,Submission,1,Analysis,2022-06-28 23:18:48,null,null,null,null,,,,,
2388,1,Current,2,Comparison,2022-06-28 23:18:48,,,,,,,,,
1203,1,Current,2,Comparison,2022-06-06 21:45:39,,,,,,,,,
1204,1,Current,1,Analysis,2022-06-06 21:47:37,null,null,null,null,,,,,
1204,3,Submission,1,Analysis,2022-06-06 21:47:55,null,null,null,null,,,,,
1204,1,Current,2,Comparison,2022-06-06 21:47:55,,,,,,,,,
1204,3,Submission,2,Comparison,2022-06-06 21:56:06,null,,,,"2",,,"0",null
1205,3,Submission,1,Analysis,2022-06-06 21:57:26,null,null,null,null,,,,,
1205,1,Current,2,Comparison,2022-06-06 21:57:26,,,,,,,,,
1203,3,Submission,2,Comparison,2022-06-06 21:57:39,null,,,,"1",,,"0",null
1205,3,Submission,2,Comparison,2022-06-06 22:01:00,null,,,,"0",,,"0",null
1206,1,Current,1,Analysis,2022-06-06 22:03:37,null,null,null,null,,,,,
1206,3,Submission,1,Analysis,2022-06-06 22:06:44,null,null,null,null,,,,,
1215,1,Current,2,Comparison,2022-06-06 23:59:00,null,,,,null,,,null,null
1206,1,Current,2,Comparison,2022-06-06 22:12:23,null,,,,"1",,,"1",null
1206,3,Submission,2,Comparison,2022-06-06 22:12:27,null,,,,"1",,,"1",null
1207,1,Current,1,Analysis,2022-06-06 22:30:05,"""Unsure if the variation in ridge thickness is level 3 detail or a result of heavy pressure, possible incipient ridges highlighted in blue\nNot exactly sure this is extreme heavy pressure, but would think this is somewhat heavy pressure\nDelta - could be finger or palm\nWould also consider this amount of level 3 detail to be in the middle of abundant and minimal""","1",[6],"[100,201,301]",,,,,
957,1,Current,2,Comparison,2022-06-06 22:38:00,"""Comparison is limited by the poor quality of the known""",,,,"2",,,"0",null
957,3,Submission,2,Comparison,2022-06-06 22:38:03,"""Comparison is limited by the poor quality of the known""",,,,"2",,,"0",null
844,3,Submission,2,Comparison,2022-06-06 22:44:44,null,,,,"1",,,"0",null
1210,3,Submission,1,Analysis,2022-06-06 22:59:33,null,null,null,null,,,,,
1211,3,Submission,1,Analysis,2022-06-06 23:02:35,null,null,null,null,,,,,
1212,3,Submission,1,Analysis,2022-06-06 23:06:30,null,null,null,null,,,,,
1212,1,Current,2,Comparison,2022-06-06 23:06:30,,,,,,,,,
1212,3,Submission,2,Comparison,2022-06-06 23:11:31,null,,,,null,,,null,null
1213,3,Submission,1,Analysis,2022-06-06 23:12:05,null,null,null,null,,,,,
1213,1,Current,2,Comparison,2022-06-06 23:12:05,,,,,,,,,
1197,3,Submission,2,Comparison,2022-06-06 23:21:14,null,,,,"2",,,"0",null
1214,1,Current,1,Analysis,2022-06-06 23:23:26,null,null,null,null,,,,,
1214,3,Submission,1,Analysis,2022-06-06 23:25:00,null,null,null,null,,,,,
1215,3,Submission,1,Analysis,2022-06-06 23:53:48,null,null,null,null,,,,,
1216,1,Current,1,Analysis,2022-06-06 23:57:42,null,null,null,null,,,,,
1214,1,Current,2,Comparison,2022-06-09 19:18:12,null,,,,"0",,,null,null
1216,3,Submission,1,Analysis,2022-06-07 00:10:06,null,null,null,null,,,,,
1216,1,Current,2,Comparison,2022-06-07 00:10:06,,,,,,,,,
1217,3,Submission,1,Analysis,2022-06-07 11:04:47,null,null,null,null,,,,,
1218,1,Current,1,Analysis,2022-06-07 11:37:19,null,null,null,null,,,,,
1218,3,Submission,1,Analysis,2022-06-07 11:37:35,null,null,null,null,,,,,
1218,1,Current,2,Comparison,2022-06-07 11:43:16,null,,,,"2",,,null,null
1219,1,Current,1,Analysis,2022-06-07 11:53:38,null,null,null,null,,,,,
1219,3,Submission,1,Analysis,2022-06-07 11:53:45,null,null,null,null,,,,,
1219,1,Current,2,Comparison,2022-06-07 12:01:01,null,,,,"1",,,null,null
1220,1,Current,1,Analysis,2022-06-07 12:03:18,null,null,null,null,,,,,
1220,3,Submission,1,Analysis,2022-06-07 12:03:24,null,null,null,null,,,,,
1221,1,Current,1,Analysis,2022-06-07 12:10:57,null,null,null,null,,,,,
1229,3,Submission,1,Analysis,2022-06-07 13:09:40,null,null,null,null,,,,,
1229,1,Current,2,Comparison,2022-06-07 13:09:40,,,,,,,,,
1220,1,Current,2,Comparison,2022-06-13 10:58:47,null,,,,"1",,,null,null
1221,3,Submission,1,Analysis,2022-06-07 12:11:01,null,null,null,null,,,,,
2296,3,Submission,1,Analysis,2022-06-24 20:13:09,null,null,null,null,,,,,
2296,1,Current,2,Comparison,2022-06-24 20:13:09,,,,,,,,,
2393,3,Submission,2,Comparison,2022-06-28 23:23:56,null,,,,"2",,,"0",null
1222,1,Current,1,Analysis,2022-06-07 12:18:01,null,null,null,null,,,,,
2547,1,Current,2,Comparison,2022-07-01 16:16:25,,,,,,,,,
1222,3,Submission,1,Analysis,2022-06-07 12:18:10,null,null,null,null,,,,,
2296,3,Submission,2,Comparison,2022-06-24 20:18:30,null,,,,null,,,null,null
1223,1,Current,1,Analysis,2022-06-07 12:34:09,null,null,null,null,,,,,
1223,3,Submission,1,Analysis,2022-06-07 12:34:16,null,null,null,null,,,,,
2394,3,Submission,1,Analysis,2022-06-28 23:24:05,null,null,null,null,,,,,
2394,1,Current,2,Comparison,2022-06-28 23:24:05,,,,,,,,,
1224,1,Current,1,Analysis,2022-06-07 12:39:22,null,null,null,null,,,,,
1224,3,Submission,1,Analysis,2022-06-07 12:39:31,null,null,null,null,,,,,
1225,3,Submission,1,Analysis,2022-06-07 12:44:35,null,null,null,null,,,,,
1225,1,Current,1,Analysis,2022-06-07 12:44:31,null,null,null,null,,,,,
1223,1,Current,2,Comparison,2022-06-13 11:05:37,null,,,,"1",,,null,null
1225,1,Current,2,Comparison,2022-06-07 12:50:24,null,,,,"1",,,null,null
1226,1,Current,1,Analysis,2022-06-07 12:51:59,null,null,null,null,,,,,
1226,3,Submission,1,Analysis,2022-06-07 12:52:04,null,null,null,null,,,,,
2395,3,Submission,1,Analysis,2022-06-28 23:26:37,null,null,null,null,,,,,
1227,1,Current,1,Analysis,2022-06-07 13:01:13,null,null,null,null,,,,,
1227,3,Submission,1,Analysis,2022-06-07 13:01:17,null,null,null,null,,,,,
2395,1,Current,2,Comparison,2022-06-28 23:26:37,,,,,,,,,
1228,3,Submission,1,Analysis,2022-06-07 13:09:44,null,"1",null,null,,,,,
1228,1,Current,2,Comparison,2022-06-07 13:09:44,,,,,,,,,
1229,3,Submission,2,Comparison,2022-06-07 13:14:33,null,,,,null,,,null,null
1230,3,Submission,1,Analysis,2022-06-07 13:16:11,null,null,null,null,,,,,
1232,3,Submission,1,Analysis,2022-06-07 13:24:12,null,null,null,null,,,,,
1230,1,Current,2,Comparison,2022-06-07 13:16:11,,,,,,,,,
1230,3,Submission,2,Comparison,2022-06-07 13:19:07,null,,,,null,,,null,null
1228,3,Submission,2,Comparison,2022-06-07 13:20:16,null,,,,"2",,,null,null
1231,3,Submission,1,Analysis,2022-06-07 13:22:56,null,null,null,null,,,,,
1231,1,Current,2,Comparison,2022-06-07 13:22:56,,,,,,,,,
1217,1,Current,2,Comparison,2022-06-07 13:24:41,"""I am not familiar with this program and could not get the images to be the same size.\n\nFor the first set I saved and did not mark a conclusion.  My conclusion is that it is from Different sources""",,,,"0",,,null,null
1233,3,Submission,1,Analysis,2022-06-07 13:27:05,null,null,null,null,,,,,
1233,1,Current,2,Comparison,2022-06-07 13:27:05,,,,,,,,,
1232,1,Current,2,Comparison,2022-06-07 13:30:21,null,,,,"2",,,null,null
1231,3,Submission,2,Comparison,2022-06-07 13:31:38,null,,,,"2",,,null,null
1234,3,Submission,1,Analysis,2022-06-07 13:34:49,null,null,null,null,,,,,
1234,1,Current,2,Comparison,2022-06-07 13:34:49,,,,,,,,,
1233,3,Submission,2,Comparison,2022-06-07 13:36:54,null,,,,null,,,null,null
1235,3,Submission,1,Analysis,2022-06-07 13:37:14,null,null,null,null,,,,,
1234,3,Submission,2,Comparison,2022-06-07 13:37:19,null,,,,"1",,,null,null
1236,3,Submission,1,Analysis,2022-06-07 13:40:26,null,null,null,null,,,,,
1236,1,Current,2,Comparison,2022-06-07 13:40:26,,,,,,,,,
1237,3,Submission,1,Analysis,2022-06-07 13:41:13,null,null,null,null,,,,,
1237,1,Current,2,Comparison,2022-06-07 13:41:13,,,,,,,,,
1236,3,Submission,2,Comparison,2022-06-07 13:43:55,null,,,,null,,,null,null
1238,3,Submission,1,Analysis,2022-06-07 13:46:00,null,null,null,null,,,,,
1238,1,Current,2,Comparison,2022-06-07 13:46:00,,,,,,,,,
1237,3,Submission,2,Comparison,2022-06-07 13:46:10,null,,,,"1",,,null,null
1238,3,Submission,2,Comparison,2022-06-07 13:47:49,null,,,,null,,,null,null
1240,3,Submission,1,Analysis,2022-06-07 13:49:28,null,null,null,null,,,,,
1240,1,Current,2,Comparison,2022-06-07 13:49:28,,,,,,,,,
1239,1,Current,1,Analysis,2022-06-07 13:50:10,null,null,null,null,,,,,
1241,3,Submission,1,Analysis,2022-06-07 13:50:56,null,null,null,null,,,,,
1244,3,Submission,1,Analysis,2022-06-07 13:58:39,null,null,null,null,,,,,
1241,1,Current,2,Comparison,2022-06-07 13:50:56,,,,,,,,,
1241,3,Submission,2,Comparison,2022-06-07 13:52:38,null,,,,null,,,null,null
1239,3,Submission,1,Analysis,2022-06-07 13:53:29,null,null,null,null,,,,,
1242,3,Submission,1,Analysis,2022-06-07 13:55:27,null,null,null,null,,,,,
1242,1,Current,2,Comparison,2022-06-07 13:55:27,,,,,,,,,
1242,3,Submission,2,Comparison,2022-06-07 13:57:05,null,,,,null,,,null,null
1239,1,Current,2,Comparison,2022-06-07 14:01:49,null,,,,null,,,null,null
2398,3,Submission,2,Comparison,2022-06-28 23:58:54,null,,,,"1",,,null,null
1244,1,Current,2,Comparison,2022-06-07 13:58:39,,,,,,,,,
1243,3,Submission,1,Analysis,2022-06-07 13:58:45,null,null,null,null,,,,,
1243,1,Current,2,Comparison,2022-06-07 13:58:45,,,,,,,,,
1243,3,Submission,2,Comparison,2022-06-07 14:00:13,null,,,,null,,,null,null
1245,3,Submission,1,Analysis,2022-06-07 14:02:06,null,null,null,null,,,,,
1245,1,Current,2,Comparison,2022-06-07 14:02:06,,,,,,,,,
2399,3,Submission,1,Analysis,2022-06-28 23:59:02,null,null,null,null,,,,,
2399,1,Current,2,Comparison,2022-06-28 23:59:02,,,,,,,,,
1245,3,Submission,2,Comparison,2022-06-07 14:03:32,null,,,,null,,,null,null
1244,3,Submission,2,Comparison,2022-06-07 14:05:00,null,,,,"1",,,null,null
1247,3,Submission,1,Analysis,2022-06-07 14:06:03,null,null,null,null,,,,,
1247,1,Current,2,Comparison,2022-06-07 14:06:03,,,,,,,,,
1246,3,Submission,1,Analysis,2022-06-07 14:06:07,null,null,null,null,,,,,
1246,1,Current,2,Comparison,2022-06-07 14:06:07,,,,,,,,,
1239,3,Submission,2,Comparison,2022-06-07 14:06:23,"""Level 3 features were taken into account but I would not say level 3 was 'decisive' in my decision making for this case.""",,,,"1",,,"0",null
1246,3,Submission,2,Comparison,2022-06-07 14:08:36,null,,,,null,,,null,null
1247,3,Submission,2,Comparison,2022-06-07 14:09:59,null,,,,"1",,,null,null
1249,3,Submission,1,Analysis,2022-06-07 14:10:33,null,null,null,null,,,,,
1249,1,Current,2,Comparison,2022-06-07 14:10:33,,,,,,,,,
1332,3,Submission,1,Analysis,2022-06-07 23:12:54,null,null,null,null,,,,,
1250,3,Submission,1,Analysis,2022-06-07 14:12:30,null,null,null,null,,,,,
1250,1,Current,2,Comparison,2022-06-07 14:12:30,,,,,,,,,
1249,3,Submission,2,Comparison,2022-06-07 14:12:46,null,,,,null,,,null,null
1252,3,Submission,1,Analysis,2022-06-07 14:14:23,null,null,null,null,,,,,
1252,1,Current,2,Comparison,2022-06-07 14:14:23,,,,,,,,,
1270,1,Current,1,Analysis,2022-06-07 17:11:49,null,null,null,null,,,,,
1278,3,Submission,1,Analysis,2022-06-07 19:17:31,null,null,null,null,,,,,
1248,1,Current,1,Analysis,2022-06-07 14:14:39,null,null,null,null,,,,,
1248,3,Submission,1,Analysis,2022-06-07 14:15:07,null,null,null,null,,,,,
1252,3,Submission,2,Comparison,2022-06-07 14:15:57,null,,,,null,,,null,null
1251,3,Submission,1,Analysis,2022-06-07 14:17:17,"""Some voids in RD, unclear if from substrate but likely.  heavy pressure in delta area obscures some details that might be present.  No pores visible, but edge detail of ridges are.  ""","1",[1],"[100,200,300]",,,,,
1251,1,Current,2,Comparison,2022-06-07 14:17:17,,,,,,,,,
1253,3,Submission,1,Analysis,2022-06-07 14:17:48,null,null,null,null,,,,,
1250,3,Submission,2,Comparison,2022-06-07 14:18:29,null,,,,"0",,,null,null
2399,3,Submission,2,Comparison,2022-06-28 23:59:44,null,,,,"1",,,null,null
1253,1,Current,2,Comparison,2022-06-07 14:19:13,null,,,,null,,,null,null
1251,3,Submission,2,Comparison,2022-06-07 14:30:51,"""Many high confidence minutiae not present in the known.  Distortion\/pressure in the delta make this area appear somewhat similar but the surrounding minutiae make it discernable.""",,,,"2",,,"1",null
1248,1,Current,2,Comparison,2022-06-07 14:36:42,null,,,,"2",,,"0",null
1254,3,Submission,1,Analysis,2022-06-07 14:38:11,"""Appears to be a finger just above core, but because it is cropped, I don't know for sure that it isn't from a different anatomical location.  Possible incipients, or short ridges\/dots throughout that aren't all marked.  ""","1",[1],"[100,200,300]",,,,,
1254,1,Current,2,Comparison,2022-06-07 14:38:11,,,,,,,,,
1207,3,Submission,1,Analysis,2022-06-07 14:38:20,"""Unsure if the variation in ridge thickness is level 3 detail or a result of heavy pressure, possible incipient ridges highlighted in blue\nNot exactly sure this is extreme heavy pressure, but would think this is somewhat heavy pressure\nDelta - could be finger or palm\nWould also consider this amount of level 3 detail to be in the middle of abundant and minimal\nPossible secondary crease upper left""","1",[6],"[100,201,301]",,,,,
1270,3,Submission,1,Analysis,2022-06-07 17:11:53,null,null,null,null,,,,,
1207,1,Current,2,Comparison,2022-06-07 14:38:20,,,,,,,,,
921,1,Current,2,Comparison,2022-06-07 14:41:06,null,,,,"1",,,"0",null
921,3,Submission,2,Comparison,2022-06-07 14:41:11,null,,,,"1",,,"0",null
1255,1,Current,1,Analysis,2022-06-07 14:45:49,null,null,null,null,,,,,
1255,3,Submission,1,Analysis,2022-06-07 14:45:53,null,null,null,null,,,,,
1254,3,Submission,2,Comparison,2022-06-07 14:46:39,null,,,,"1",,,"1",null
1207,3,Submission,2,Comparison,2022-06-07 14:49:23,null,,,,"2",,,"0",null
1255,1,Current,2,Comparison,2022-06-07 14:51:07,null,,,,"1",,,"0",null
1255,3,Submission,2,Comparison,2022-06-07 14:51:19,null,,,,"1",,,"0",null
1256,3,Submission,1,Analysis,2022-06-07 14:52:51,"""Down and outs in an apparent pattern force area without much level 3 detail.  This is a borderline print just due to lack of specificity of the details present.  ""","1","[1,6]","[100,200,301]",,,,,
1256,1,Current,2,Comparison,2022-06-07 14:52:51,,,,,,,,,
1258,1,Current,1,Analysis,2022-06-07 14:55:17,null,null,null,null,,,,,
1259,1,Current,2,Comparison,2022-06-07 15:10:38,,,,,,,,,
1258,3,Submission,1,Analysis,2022-06-07 14:55:21,null,null,null,null,,,,,
1257,3,Submission,1,Analysis,2022-06-07 14:58:39,"""Could be top of pattern area of whorl. \nPossible incipients present - sometimes difficult to determine where minutiae actually was (what was ridge and what was incipient)\nLowest minutiae would be yellow for me""","1",[],"[100,200,300]",,,,,
1257,1,Current,2,Comparison,2022-06-07 14:58:39,,,,,,,,,
1258,1,Current,2,Comparison,2022-07-01 16:14:30,null,,,,"2",,,null,null
1256,3,Submission,2,Comparison,2022-06-07 15:04:27,"""thickening and thinning of ridges, as well as kinks\/bends were used in comparison.  Also took into account the small open field under the marked details.  """,,,,"1",,,"1",null
1257,3,Submission,2,Comparison,2022-06-07 15:06:06,null,,,,"1",,,"1",null
1259,3,Submission,1,Analysis,2022-06-07 15:10:38,"""RD appears blurred and\/or smudged.  limited detail in this impression""",null,"[1,2]","[101,201,301]",,,,,
1259,3,Submission,2,Comparison,2022-06-07 15:24:10,"""some minutiae appear very similar in appearance and location.  Several minutiae present in known that are not visible in latent or in a different location.  """,,,,"0",,,"0",null
1014,1,Current,2,Comparison,2022-06-07 15:32:37,null,,,,"1",,,"1",null
1014,3,Submission,2,Comparison,2022-06-07 15:32:42,null,,,,"1",,,"1",null
1260,1,Current,1,Analysis,2022-06-07 15:38:10,null,"1",[],"[101,200,301]",,,,,
1260,3,Submission,1,Analysis,2022-06-07 15:38:14,null,"1",[],"[101,200,301]",,,,,
1278,1,Current,2,Comparison,2022-06-07 19:20:32,null,,,,"1",,,null,null
1383,3,Submission,1,Analysis,2022-06-08 17:17:45,null,null,null,null,,,,,
1260,1,Current,2,Comparison,2022-06-07 15:41:37,null,,,,"1",,,"1",null
1260,3,Submission,2,Comparison,2022-06-07 15:41:41,null,,,,"1",,,"1",null
1261,1,Current,1,Analysis,2022-06-07 16:02:50,"""white dots within ridges appear to be pores, but also look \""wet\"" enough to be water spots""","1",[1],"[100,200,301]",,,,,
1261,3,Submission,1,Analysis,2022-06-07 16:02:54,"""white dots within ridges appear to be pores, but also look \""wet\"" enough to be water spots""","1",[1],"[100,200,301]",,,,,
2400,3,Submission,1,Analysis,2022-06-28 23:59:52,null,null,null,null,,,,,
2400,1,Current,2,Comparison,2022-06-28 23:59:52,,,,,,,,,
1261,1,Current,2,Comparison,2022-06-07 16:06:50,null,,,,"1",,,"1",null
1261,3,Submission,2,Comparison,2022-06-07 16:07:02,null,,,,"1",,,"1",null
1262,1,Current,1,Analysis,2022-06-07 16:13:35,null,"1",[1],"[101,200,302]",,,,,
1262,3,Submission,1,Analysis,2022-06-07 16:14:09,null,"1",[1],"[101,200,302]",,,,,
1262,1,Current,2,Comparison,2022-06-07 16:18:38,null,,,,"1",,,"0",null
1262,3,Submission,2,Comparison,2022-06-07 16:18:42,null,,,,"1",,,"0",null
2400,3,Submission,2,Comparison,2022-06-29 00:00:59,null,,,,"2",,,null,null
1263,1,Current,1,Analysis,2022-06-07 16:22:41,null,"1",[2],"[100,200,301]",,,,,
1263,3,Submission,1,Analysis,2022-06-07 16:22:46,null,"1",[2],"[100,200,301]",,,,,
1264,1,Current,1,Analysis,2022-06-07 16:26:34,null,null,null,null,,,,,
1264,3,Submission,1,Analysis,2022-06-07 16:26:54,null,null,null,null,,,,,
1263,1,Current,2,Comparison,2022-06-07 16:27:37,null,,,,"1",,,"1",null
1263,3,Submission,2,Comparison,2022-06-07 16:27:41,null,,,,"1",,,"1",null
1265,1,Current,1,Analysis,2022-06-07 16:33:13,null,"1",[],"[101,200,300]",,,,,
1265,3,Submission,1,Analysis,2022-06-07 16:33:17,null,"1",[],"[101,200,300]",,,,,
1265,1,Current,2,Comparison,2022-06-10 12:25:13,null,,,,"0",,,"1",null
2401,3,Submission,1,Analysis,2022-06-29 00:01:05,null,null,null,null,,,,,
2401,1,Current,2,Comparison,2022-06-29 00:01:05,,,,,,,,,
1264,1,Current,2,Comparison,2022-06-07 16:35:27,null,,,,null,,,null,null
1264,3,Submission,2,Comparison,2022-06-07 16:35:32,null,,,,null,,,null,null
1266,1,Current,1,Analysis,2022-06-07 16:44:17,null,null,null,null,,,,,
1266,3,Submission,1,Analysis,2022-06-07 16:44:23,null,null,null,null,,,,,
1266,1,Current,2,Comparison,2022-06-07 16:44:23,,,,,,,,,
2401,3,Submission,2,Comparison,2022-06-29 00:01:56,null,,,,"1",,,null,null
1266,3,Submission,2,Comparison,2022-06-07 16:48:00,null,,,,"0",,,null,null
1267,1,Current,1,Analysis,2022-06-07 16:50:07,null,null,null,null,,,,,
1267,3,Submission,1,Analysis,2022-06-07 16:50:10,null,null,null,null,,,,,
1267,1,Current,2,Comparison,2022-06-07 17:00:37,null,,,,"2",,,null,null
2402,3,Submission,1,Analysis,2022-06-29 00:02:03,null,null,null,null,,,,,
2402,1,Current,2,Comparison,2022-06-29 00:02:03,,,,,,,,,
1267,3,Submission,2,Comparison,2022-06-07 17:00:40,null,,,,"2",,,null,null
1268,1,Current,1,Analysis,2022-06-07 17:02:14,null,null,null,null,,,,,
1268,3,Submission,1,Analysis,2022-06-07 17:02:16,null,null,null,null,,,,,
1268,1,Current,2,Comparison,2022-06-07 17:04:22,null,,,,"1",,,null,null
2402,3,Submission,2,Comparison,2022-06-29 00:02:52,null,,,,"2",,,null,null
1110,3,Submission,2,Comparison,2022-06-07 17:03:57,null,,,,"0",,,"0",null
1268,3,Submission,2,Comparison,2022-06-07 17:04:28,null,,,,"1",,,null,null
